class_name,source_folder,original_filename,original_path,augmentation_type,output_filename,output_path,parameters_json,original_height,original_width,output_height,output_width
word,word_pdfs_png,3D_printing.png,word_pdfs_png/3D_printing.png,gaussian_noise,3D_printing__gaussian_noise.png,augmented_images/word/gaussian_noise/3D_printing__gaussian_noise.png,"{""sigma"": 14.5914}",150,148,150,148
word,word_pdfs_png,3D_printing.png,word_pdfs_png/3D_printing.png,jpeg_compression,3D_printing__jpeg_compression.png,augmented_images/word/jpeg_compression/3D_printing__jpeg_compression.png,"{""jpeg_quality"": 21}",150,148,150,148
word,word_pdfs_png,3D_printing.png,word_pdfs_png/3D_printing.png,dpi_downsampling,3D_printing__dpi_downsampling.png,augmented_images/word/dpi_downsampling/3D_printing__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 72, ""scale_factor"": 0.24, ""intermediate_size"": [36, 36]}",150,148,150,148
word,word_pdfs_png,3D_printing.png,word_pdfs_png/3D_printing.png,random_crop,3D_printing__random_crop.png,augmented_images/word/random_crop/3D_printing__random_crop.png,"{""top_crop_pct"": 0.0149, ""bottom_crop_pct"": 0.0128, ""left_crop_pct"": 0.012, ""right_crop_pct"": 0.0248, ""cropped_size"": [146, 142]}",150,148,150,148
word,word_pdfs_png,3D_printing.png,word_pdfs_png/3D_printing.png,bit_depth_reduction,3D_printing__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/3D_printing__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",150,148,150,148
word,word_pdfs_png,Abolition.png,word_pdfs_png/Abolition.png,gaussian_noise,Abolition__gaussian_noise.png,augmented_images/word/gaussian_noise/Abolition__gaussian_noise.png,"{""sigma"": 13.1805}",171,169,171,169
word,word_pdfs_png,Abolition.png,word_pdfs_png/Abolition.png,jpeg_compression,Abolition__jpeg_compression.png,augmented_images/word/jpeg_compression/Abolition__jpeg_compression.png,"{""jpeg_quality"": 57}",171,169,171,169
word,word_pdfs_png,Abolition.png,word_pdfs_png/Abolition.png,dpi_downsampling,Abolition__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Abolition__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 72, ""scale_factor"": 0.24, ""intermediate_size"": [41, 41]}",171,169,171,169
word,word_pdfs_png,Abolition.png,word_pdfs_png/Abolition.png,random_crop,Abolition__random_crop.png,augmented_images/word/random_crop/Abolition__random_crop.png,"{""top_crop_pct"": 0.0106, ""bottom_crop_pct"": 0.0119, ""left_crop_pct"": 0.0147, ""right_crop_pct"": 0.022, ""cropped_size"": [167, 163]}",171,169,171,169
word,word_pdfs_png,Abolition.png,word_pdfs_png/Abolition.png,bit_depth_reduction,Abolition__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Abolition__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",171,169,171,169
word,word_pdfs_png,Abraham_Lincoln.png,word_pdfs_png/Abraham_Lincoln.png,gaussian_noise,Abraham_Lincoln__gaussian_noise.png,augmented_images/word/gaussian_noise/Abraham_Lincoln__gaussian_noise.png,"{""sigma"": 13.4187}",162,161,162,161
word,word_pdfs_png,Abraham_Lincoln.png,word_pdfs_png/Abraham_Lincoln.png,jpeg_compression,Abraham_Lincoln__jpeg_compression.png,augmented_images/word/jpeg_compression/Abraham_Lincoln__jpeg_compression.png,"{""jpeg_quality"": 65}",162,161,162,161
word,word_pdfs_png,Abraham_Lincoln.png,word_pdfs_png/Abraham_Lincoln.png,dpi_downsampling,Abraham_Lincoln__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Abraham_Lincoln__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 72, ""scale_factor"": 0.24, ""intermediate_size"": [39, 39]}",162,161,162,161
word,word_pdfs_png,Abraham_Lincoln.png,word_pdfs_png/Abraham_Lincoln.png,random_crop,Abraham_Lincoln__random_crop.png,augmented_images/word/random_crop/Abraham_Lincoln__random_crop.png,"{""top_crop_pct"": 0.0144, ""bottom_crop_pct"": 0.0218, ""left_crop_pct"": 0.0262, ""right_crop_pct"": 0.0101, ""cropped_size"": [156, 155]}",162,161,162,161
word,word_pdfs_png,Abraham_Lincoln.png,word_pdfs_png/Abraham_Lincoln.png,bit_depth_reduction,Abraham_Lincoln__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Abraham_Lincoln__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",162,161,162,161
word,word_pdfs_png,Abstract_art.png,word_pdfs_png/Abstract_art.png,gaussian_noise,Abstract_art__gaussian_noise.png,augmented_images/word/gaussian_noise/Abstract_art__gaussian_noise.png,"{""sigma"": 17.0873}",150,149,150,149
word,word_pdfs_png,Abstract_art.png,word_pdfs_png/Abstract_art.png,jpeg_compression,Abstract_art__jpeg_compression.png,augmented_images/word/jpeg_compression/Abstract_art__jpeg_compression.png,"{""jpeg_quality"": 64}",150,149,150,149
word,word_pdfs_png,Abstract_art.png,word_pdfs_png/Abstract_art.png,dpi_downsampling,Abstract_art__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Abstract_art__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 72, ""scale_factor"": 0.24, ""intermediate_size"": [36, 36]}",150,149,150,149
word,word_pdfs_png,Abstract_art.png,word_pdfs_png/Abstract_art.png,random_crop,Abstract_art__random_crop.png,augmented_images/word/random_crop/Abstract_art__random_crop.png,"{""top_crop_pct"": 0.0168, ""bottom_crop_pct"": 0.0131, ""left_crop_pct"": 0.0291, ""right_crop_pct"": 0.0167, ""cropped_size"": [145, 143]}",150,149,150,149
word,word_pdfs_png,Abstract_art.png,word_pdfs_png/Abstract_art.png,bit_depth_reduction,Abstract_art__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Abstract_art__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",150,149,150,149
word,word_pdfs_png,Acid_rain.png,word_pdfs_png/Acid_rain.png,gaussian_noise,Acid_rain__gaussian_noise.png,augmented_images/word/gaussian_noise/Acid_rain__gaussian_noise.png,"{""sigma"": 6.3912}",151,150,151,150
word,word_pdfs_png,Acid_rain.png,word_pdfs_png/Acid_rain.png,jpeg_compression,Acid_rain__jpeg_compression.png,augmented_images/word/jpeg_compression/Acid_rain__jpeg_compression.png,"{""jpeg_quality"": 26}",151,150,151,150
word,word_pdfs_png,Acid_rain.png,word_pdfs_png/Acid_rain.png,dpi_downsampling,Acid_rain__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Acid_rain__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 72, ""scale_factor"": 0.24, ""intermediate_size"": [36, 36]}",151,150,151,150
word,word_pdfs_png,Acid_rain.png,word_pdfs_png/Acid_rain.png,random_crop,Acid_rain__random_crop.png,augmented_images/word/random_crop/Acid_rain__random_crop.png,"{""top_crop_pct"": 0.0269, ""bottom_crop_pct"": 0.0221, ""left_crop_pct"": 0.0261, ""right_crop_pct"": 0.0246, ""cropped_size"": [144, 142]}",151,150,151,150
word,word_pdfs_png,Acid_rain.png,word_pdfs_png/Acid_rain.png,bit_depth_reduction,Acid_rain__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Acid_rain__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",151,150,151,150
word,word_pdfs_png,Acoustics.png,word_pdfs_png/Acoustics.png,gaussian_noise,Acoustics__gaussian_noise.png,augmented_images/word/gaussian_noise/Acoustics__gaussian_noise.png,"{""sigma"": 13.0434}",144,143,144,143
word,word_pdfs_png,Acoustics.png,word_pdfs_png/Acoustics.png,jpeg_compression,Acoustics__jpeg_compression.png,augmented_images/word/jpeg_compression/Acoustics__jpeg_compression.png,"{""jpeg_quality"": 79}",144,143,144,143
word,word_pdfs_png,Acoustics.png,word_pdfs_png/Acoustics.png,dpi_downsampling,Acoustics__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Acoustics__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 72, ""scale_factor"": 0.24, ""intermediate_size"": [35, 34]}",144,143,144,143
word,word_pdfs_png,Acoustics.png,word_pdfs_png/Acoustics.png,random_crop,Acoustics__random_crop.png,augmented_images/word/random_crop/Acoustics__random_crop.png,"{""top_crop_pct"": 0.0116, ""bottom_crop_pct"": 0.0159, ""left_crop_pct"": 0.0226, ""right_crop_pct"": 0.0277, ""cropped_size"": [140, 136]}",144,143,144,143
word,word_pdfs_png,Acoustics.png,word_pdfs_png/Acoustics.png,bit_depth_reduction,Acoustics__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Acoustics__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",144,143,144,143
word,word_pdfs_png,Adolf_Hitler.png,word_pdfs_png/Adolf_Hitler.png,gaussian_noise,Adolf_Hitler__gaussian_noise.png,augmented_images/word/gaussian_noise/Adolf_Hitler__gaussian_noise.png,"{""sigma"": 10.4245}",173,171,173,171
word,word_pdfs_png,Adolf_Hitler.png,word_pdfs_png/Adolf_Hitler.png,jpeg_compression,Adolf_Hitler__jpeg_compression.png,augmented_images/word/jpeg_compression/Adolf_Hitler__jpeg_compression.png,"{""jpeg_quality"": 32}",173,171,173,171
word,word_pdfs_png,Adolf_Hitler.png,word_pdfs_png/Adolf_Hitler.png,dpi_downsampling,Adolf_Hitler__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Adolf_Hitler__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 150, ""scale_factor"": 0.5, ""intermediate_size"": [86, 86]}",173,171,173,171
word,word_pdfs_png,Adolf_Hitler.png,word_pdfs_png/Adolf_Hitler.png,random_crop,Adolf_Hitler__random_crop.png,augmented_images/word/random_crop/Adolf_Hitler__random_crop.png,"{""top_crop_pct"": 0.0109, ""bottom_crop_pct"": 0.0146, ""left_crop_pct"": 0.0158, ""right_crop_pct"": 0.0116, ""cropped_size"": [168, 166]}",173,171,173,171
word,word_pdfs_png,Adolf_Hitler.png,word_pdfs_png/Adolf_Hitler.png,bit_depth_reduction,Adolf_Hitler__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Adolf_Hitler__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",173,171,173,171
word,word_pdfs_png,Africa.png,word_pdfs_png/Africa.png,gaussian_noise,Africa__gaussian_noise.png,augmented_images/word/gaussian_noise/Africa__gaussian_noise.png,"{""sigma"": 8.4919}",174,172,174,172
word,word_pdfs_png,Africa.png,word_pdfs_png/Africa.png,jpeg_compression,Africa__jpeg_compression.png,augmented_images/word/jpeg_compression/Africa__jpeg_compression.png,"{""jpeg_quality"": 26}",174,172,174,172
